beta	<e>	<m>	<|m|>
0.1000000	-0.2057135	-0.0000000	0.2494978
0.2000000	-0.4561354	-0.0000000	0.3427656
0.3000000	-0.8440541	0.0000000	0.5203580
0.3500000	-1.1086569	-0.0000000	0.6435697
0.4000000	-1.3791165	-0.0000000	0.7647124
0.4150000	-1.4528028	0.0000000	0.7964939
0.4400000	-1.5628470	0.0000000	0.8427156
0.4406868	-1.5656238	-0.0000000	0.8438605
0.4450000	-1.5827515	-0.0000000	0.8508964
0.4500000	-1.6019331	0.0000000	0.8587225
0.4650000	-1.6551510	0.0000000	0.8801181
0.4800000	-1.7020395	0.0000000	0.8985427
0.5000000	-1.7553803	0.0000000	0.9189433
0.5500000	-1.8508058	0.0000000	0.9535893
0.6000000	-1.9080695	0.0000000	0.9728675
0.7000000	-1.9634910	0.0000000	0.9899692
0.9000000	-1.9934838	0.0000000	0.9983156
