beta	<e>	<m>	<|m|>
0.1000000	-0.2252646	0.0000000	0.3433592
0.2000000	-0.5380991	0.0000000	0.4599774
0.3000000	-0.9876832	0.0000000	0.6365023
0.3500000	-1.2368752	0.0000000	0.7324823
0.4000000	-1.4621224	0.0000000	0.8168608
0.4150000	-1.5211014	0.0000000	0.8384829
0.4400000	-1.6090179	0.0000000	0.8702736
0.4406868	-1.6112464	0.0000000	0.8710719
0.4450000	-1.6250137	0.0000000	0.8759950
0.4500000	-1.6404828	0.0000000	0.8815080
0.4650000	-1.6837781	0.0000000	0.8968273
0.4800000	-1.7225553	0.0000000	0.9103972
0.5000000	-1.7676785	0.0000000	0.9259848
0.5500000	-1.8523299	0.0000000	0.9545021
0.6000000	-1.9065580	0.0000000	0.9721027
0.7000000	-1.9621907	0.0000000	0.9893015
0.9000000	-1.9933224	0.0000000	0.9982339
