beta	<e>	<m>	<|m|>
0.0000000	-0.5000000	0.5000000	0.5000000
0.0500000	-0.5601455	0.5262732	0.5262732
0.1000000	-0.6286210	0.5551559	0.5551559
0.1500000	-0.7060589	0.5866502	0.5866502
0.2000000	-0.7926784	0.6205816	0.6205816
0.2500000	-0.8880252	0.6565347	0.6565347
0.3000000	-0.9907265	0.6938096	0.6938096
0.3500000	-1.0983741	0.7314354	0.7314354
0.4000000	-1.2076600	0.7682643	0.7682643
0.4500000	-1.3148114	0.8031403	0.8031403
0.5000000	-1.4162178	0.8350904	0.8350904
0.5500000	-1.5090199	0.8634687	0.8634687
0.6000000	-1.5914510	0.8880034	0.8880034
0.6500000	-1.6628596	0.9087514	0.9087514
0.7000000	-1.7234973	0.9259999	0.9259999
0.7500000	-1.7742112	0.9401611	0.9401611
0.8000000	-1.8161550	0.9516875	0.9516875
0.8500000	-1.8505732	0.9610165	0.9610165
0.9000000	-1.8786655	0.9685416	0.9685416
0.9500000	-1.9015151	0.9746011	0.9746011
